recipe_id,title,description,protein_grams,calories,carbs,fat,fiber,sugar,diet_tags,meal_type,site_name,site_domain,prep_time,prep_time_minutes,cook_time_minutes,total_time_minutes,difficulty,servings,canonical_url,image_url,intent_class
proteincookies-co-greek-yogurt-protein-cookies,Greek Yogurt Protein Cookies,"These incredibly moist protein cookies, crafted with creamy Greek yogurt, deliver a satisfying 21 grams of protein per serving, making them an ideal choice for post-workout recovery or a nourishing snack. The light, fluffy texture melts in your mouth, with a subtle tang from the yogurt that adds ...",21,150,14,4,1,5,Greek Yogurt;Moist;Light;Whole Food,desserts,ProteinCookies,proteincookies.co,PT10M,10,12,22,Easy,12 cookies,https://proteincookies.co/greek-yogurt-protein-cookies.html,https://proteincookies.co/recipe_images/greek-yogurt-protein-cookies.jpg,quick-snack
proteincookies-co-almond-flour-protein-cookies,Almond Flour Protein Cookies,"These delicious low-carb almond flour protein cookies pack a powerful punch with 19 grams of high-quality protein per serving, making them a perfect choice for supporting muscle recovery and keeping you energized throughout the day. With their tender, slightly chewy texture and a satisfying crunc...",19,175,10,11,2,3,Almond Flour;Keto;Low-Carb,desserts,ProteinCookies,proteincookies.co,PT10M,10,12,22,Easy,12 cookies,https://proteincookies.co/almond-flour-protein-cookies.html,https://proteincookies.co/recipe_images/almond-flour-protein-cookies.jpg,quick-snack
proteincookies-co-pumpkin-spice-protein-cookies,Pumpkin Spice Protein Cookies,"Soft, cakey pumpkin spice cookies with 18g protein. Perfect for fall with warm spices and real pumpkin puree. These cookies are not only irresistibly tender and melt-in-your-mouth delicious, but they also pack a powerful protein punch to fuel your active lifestyle. With a balanced blend of health...",18,145,16,4,2,5,Pumpkin;Fall;Spiced;Seasonal,desserts,ProteinCookies,proteincookies.co,PT12M,12,14,26,Easy,14 cookies,https://proteincookies.co/pumpkin-spice-protein-cookies.html,https://proteincookies.co/recipe_images/pumpkin-spice-protein-cookies.jpg,quick-snack
proteincookies-co-lemon-protein-cookies,Lemon Protein Cookies,"Bright, zesty lemon cookies with 17g protein per serving offer a delicious way to fuel your day. Packed with high-quality ingredients, these cookies deliver a satisfying balance of macros—rich in protein, moderate in healthy fats, and lightly sweetened with natural citrus notes—making them an exc...",17,150,15,5,1,5,Lemon;Citrus;Refreshing;Dessert,desserts,ProteinCookies,proteincookies.co,PT12M,12,10,22,Easy,12 cookies,https://proteincookies.co/lemon-protein-cookies.html,https://proteincookies.co/recipe_images/lemon-protein-cookies.jpg,quick-snack
proteincookies-co-monster-protein-cookies,Monster Protein Cookies,"Loaded monster cookies with oats, peanut butter, chocolate, and M&Ms with 20g protein. A protein-packed version of the classic that delivers both indulgence and nutrition in every bite. These cookies boast a satisfying chewy texture from hearty oats, complemented by the creamy richness of peanut ...",20,195,20,8,3,8,Monster;Loaded;Peanut Butter;Classic,desserts,ProteinCookies,proteincookies.co,PT12M,12,12,24,Easy,12 cookies,https://proteincookies.co/monster-protein-cookies.html,https://proteincookies.co/recipe_images/monster-protein-cookies.jpg,quick-snack
proteincookies-co-high-protein-cookies-30g,High Protein Cookies (30g),"Maximize your protein intake with these indulgent cookies, each packing an impressive 30 grams of muscle-building protein to fuel your active lifestyle. Crafted to support serious athletes and fitness enthusiasts alike, these cookies deliver a satisfyingly chewy texture with a perfect balance of ...",30,220,14,7,2,4,30g+;Anabolic;Maximum Protein;High Protein,desserts,ProteinCookies,proteincookies.co,PT10M,10,12,22,Medium,10 cookies,https://proteincookies.co/high-protein-cookies-30g.html,https://proteincookies.co/recipe_images/high-protein-cookies-30g.jpg,high-protein-30g
proteincookies-co-chocolate-peanut-butter-protein-cookies,Chocolate Peanut Butter Protein Cookies,"Indulge in these irresistible chocolate peanut butter protein cookies, packed with 22 grams of muscle-nourishing protein per serving to fuel your day and support your fitness goals. The fudgy chocolate base delivers a rich, velvety texture that melts in your mouth, complemented perfectly by a lus...",22,185,14,9,3,5,Chocolate;Peanut Butter;Swirl;Dessert,desserts,ProteinCookies,proteincookies.co,PT12M,12,12,24,Easy,12 cookies,https://proteincookies.co/chocolate-peanut-butter-protein-cookies.html,https://proteincookies.co/recipe_images/chocolate-peanut-butter-protein-cookies.jpg,quick-snack
proteincookies-co-banana-protein-cookies,Banana Protein Cookies,"Naturally sweetened banana cookies with 16g of protein per serving, making them a delicious and nourishing treat for any time of day. Crafted with ripe bananas, these cookies deliver a moist, tender crumb with a subtle natural sweetness that satisfies your cravings without added sugars. Packed wi...",16,140,18,4,2,8,Banana;Natural;Low Sugar;Whole Food,desserts,ProteinCookies,proteincookies.co,PT10M,10,12,22,Beginner,14 cookies,https://proteincookies.co/banana-protein-cookies.html,https://proteincookies.co/recipe_images/banana-protein-cookies.jpg,quick-snack
proteincookies-co-sugar-free-protein-cookies,Sugar-Free Protein Cookies,"These sugar-free protein cookies are a delicious way to boost your daily protein intake with 19 grams of high-quality protein per serving, making them an ideal post-workout treat or satisfying snack to fuel your day. Sweetened naturally with monk fruit and stevia, they are perfect for those manag...",19,145,10,7,2,0,Sugar-Free;Diabetic-Friendly;Keto;Low-Carb,desserts,ProteinCookies,proteincookies.co,PT10M,10,12,22,Easy,12 cookies,https://proteincookies.co/sugar-free-protein-cookies.html,https://proteincookies.co/recipe_images/sugar-free-protein-cookies.jpg,quick-snack
proteincookies-co-thin-crispy-protein-cookies,Thin & Crispy Protein Cookies,"These perfectly thin and crispy protein cookies deliver a satisfying crunch with every bite, making them an irresistible treat for snack lovers and fitness enthusiasts alike. Packed with 15 grams of high-quality protein per serving, they provide an excellent way to fuel your muscles and support m...",15,135,14,5,1,4,Thin;Crispy;Crunchy;Classic,desserts,ProteinCookies,proteincookies.co,PT10M,10,14,24,Easy,16 cookies,https://proteincookies.co/thin-crispy-protein-cookies.html,https://proteincookies.co/recipe_images/thin-crispy-protein-cookies.jpg,quick-snack
proteincookies-co-red-velvet-protein-cookies,Red Velvet Protein Cookies,"Stunning red velvet cookies with cream cheese frosting and 18g of protein per serving, making them the perfect guilt-free indulgence for any occasion. Packed with high-quality protein, these cookies support muscle recovery and help keep you full longer, making them an ideal treat after a workout ...",18,165,16,5,1,6,Red Velvet;Valentine;Cream Cheese;Seasonal,desserts,ProteinCookies,proteincookies.co,PT15M,15,10,25,Medium,12 cookies,https://proteincookies.co/red-velvet-protein-cookies.html,https://proteincookies.co/recipe_images/red-velvet-protein-cookies.jpg,quick-snack
proteincookies-co-gingerbread-protein-cookies,Gingerbread Protein Cookies,"Warm, spiced gingerbread cookies with 17g protein make for a delightful holiday treat that satisfies your sweet tooth while fueling your body. Packed with high-quality protein, these cookies help support muscle recovery and keep you energized, making them an ideal post-workout indulgence or a nut...",17,150,17,4,1,6,Gingerbread;Holiday;Spiced;Seasonal,desserts,ProteinCookies,proteincookies.co,PT15M,15,10,25,Easy,14 cookies,https://proteincookies.co/gingerbread-protein-cookies.html,https://proteincookies.co/recipe_images/gingerbread-protein-cookies.jpg,quick-snack
proteincookies-co-gluten-free-oat-flour-protein-cookies,Gluten-Free Oat Flour Protein Cookies,"Soft, chewy protein cookies made with certified gluten-free oat flour are the perfect guilt-free treat that packs a punch of nutrition. Each cookie delivers around 10 grams of high-quality protein, making them an ideal post-workout snack to help repair and build muscle, or a satisfying energy boo...",10,125,14,5,2,6,gluten-free;oat-flour;chocolate-chip;chewy;Cookies,desserts,ProteinCookies,proteincookies.co,PT10M,10,12,22,Easy,16 cookies,https://proteincookies.co/gluten-free-oat-flour-protein-cookies.html,https://proteincookies.co/recipe_images/gluten-free-oat-flour-protein-cookies.jpg,gluten-free
proteincookies-co-dairy-free-peanut-butter-protein-cookies,Dairy-Free Peanut Butter Protein Cookies,"These classic peanut butter cookies are completely dairy-free and infused with plant-based protein, offering a wholesome treat that’s as nourishing as it is delicious. Each cookie delivers approximately 12 grams of protein, making them an excellent choice for post-workout recovery or a satisfying...",12,135,12,7,2,6,dairy-free;peanut-butter;vegan;classic;Cookies,desserts,ProteinCookies,proteincookies.co,PT10M,10,10,20,Easy,14 cookies,https://proteincookies.co/dairy-free-peanut-butter-protein-cookies.html,https://proteincookies.co/recipe_images/dairy-free-peanut-butter-protein-cookies.jpg,vegan
proteinpancakes-co-classic-whey-protein-pancakes,Classic Whey Protein Pancakes,"A timeless recipe for fluffy, high-protein pancakes made with whey protein, perfect for a post-workout breakfast or a healthy start to your day. These pancakes deliver an impressive 25 grams of protein per serving, making them an ideal choice for muscle recovery and sustained energy. Their light,...",25,180,15,5,3,4,classic;whey;high-protein;Pancakes,breakfast,ProteinPancakes,proteinpancakes.co,PT5M,5,10,15,Easy,4 pancakes,https://proteinpancakes.co/classic-whey-protein-pancakes.html,https://proteinpancakes.co/recipe_images/classic-whey-protein-pancakes.jpg,quick-snack
proteinpancakes-co-chocolate-casein-pancakes,Chocolate Casein Pancakes,"Indulge in these rich and decadent chocolate pancakes, made with slow-digesting casein protein to keep you full and satisfied. Packed with 22 grams of high-quality protein per serving, these pancakes are perfect for supporting muscle recovery and maintaining steady energy levels throughout the da...",22,200,18,7,4,6,chocolate;casein;dessert;Pancakes,breakfast,ProteinPancakes,proteinpancakes.co,PT5M,5,10,15,Easy,4 pancakes,https://proteinpancakes.co/chocolate-casein-pancakes.html,https://proteinpancakes.co/recipe_images/chocolate-casein-pancakes.jpg,quick-snack
proteinpancakes-co-blueberry-vegan-protein-pancakes,Blueberry Vegan Protein Pancakes,"These blueberry vegan protein pancakes are a delicious and plant-based breakfast that’s as nourishing as it is flavorful, offering an impressive 18 grams of protein per serving to fuel your day. Made with wholesome ingredients, they deliver a satisfying combination of fluffy texture and juicy bur...",18,190,22,5,5,8,vegan;blueberry;plant-based;Pancakes,breakfast,ProteinPancakes,proteinpancakes.co,PT5M,5,12,17,Easy,4 pancakes,https://proteinpancakes.co/blueberry-vegan-protein-pancakes.html,https://proteinpancakes.co/recipe_images/blueberry-vegan-protein-pancakes.jpg,vegan
proteinpancakes-co-savory-herb-and-cheese-pancakes,Savory Herb and Cheese Pancakes,"A savory twist on traditional pancakes, these are packed with protein, herbs, and cheese for a satisfying and flavorful meal. Each serving delivers an impressive 28 grams of high-quality protein, making them an ideal choice for post-workout recovery or a nourishing brunch. The tender, fluffy text...",28,220,10,12,2,3,savory;cheese;high-protein;Pancakes,breakfast,ProteinPancakes,proteinpancakes.co,PT10M,10,10,20,Easy,3 pancakes,https://proteinpancakes.co/savory-herb-and-cheese-pancakes.html,https://proteinpancakes.co/recipe_images/savory-herb-and-cheese-pancakes.jpg,quick-snack
proteinpancakes-co-banana-bread-protein-pancakes,Banana Bread Protein Pancakes,"Enjoy the comforting flavors of banana bread in a high-protein pancake form—a nutritious and satisfying way to fuel your day. Packed with 20 grams of protein per serving, these pancakes help support muscle recovery and keep you energized longer, making them perfect for a post-workout boost or a h...",20,210,25,5,4,10,banana;breakfast;comfort-food;Pancakes,breakfast,ProteinPancakes,proteinpancakes.co,PT5M,5,10,15,Easy,4 pancakes,https://proteinpancakes.co/banana-bread-protein-pancakes.html,https://proteinpancakes.co/recipe_images/banana-bread-protein-pancakes.jpg,quick-snack
proteinpancakes-co-lemon-ricotta-protein-crepes,Lemon Ricotta Protein Crepes,"Light and delicate crepes filled with a creamy, high-protein lemon ricotta filling, these treats offer a perfect balance of indulgence and nourishment. Packed with approximately 20 grams of protein per serving, they support muscle recovery and help keep you full and satisfied longer. The tender, ...",20,230,15,12,1,8,lemon;ricotta;crepes;dessert;Crepes,breakfast,ProteinPancakes,proteinpancakes.co,PT10M,10,15,25,Medium,6 crepes,https://proteinpancakes.co/lemon-ricotta-protein-crepes.html,https://proteinpancakes.co/recipe_images/lemon-ricotta-protein-crepes.jpg,quick-snack
proteinpancakes-co-cinnamon-roll-protein-waffles,Cinnamon Roll Protein Waffles,"All the flavor of a warm cinnamon roll packed into a crispy, high-protein waffle. Drizzled with a sweet cream cheese glaze, this indulgent treat offers a satisfying crunch with every bite, balanced by the comforting warmth of cinnamon and a touch of sweetness. With 26 grams of protein per serving...",26,280,25,12,3,12,cinnamon-roll;waffles;dessert-for-breakfast;Waffles,breakfast,ProteinPancakes,proteinpancakes.co,PT10M,10,15,25,Easy,4 waffles,https://proteinpancakes.co/cinnamon-roll-protein-waffles.html,https://proteinpancakes.co/recipe_images/cinnamon-roll-protein-waffles.jpg,quick-snack
proteinpancakes-co-red-velvet-protein-pancakes,Red Velvet Protein Pancakes,"A stunning stack of red velvet pancakes with a hint of cocoa, topped with a luscious cream cheese glaze. These fluffy, vibrant red pancakes are not only visually impressive but pack a powerful nutritional punch, delivering 24 grams of high-quality protein per serving to fuel your muscles and keep...",24,250,20,10,4,9,red-velvet;chocolate;dessert;Pancakes,breakfast,ProteinPancakes,proteinpancakes.co,PT10M,10,10,20,Easy,4 pancakes,https://proteinpancakes.co/red-velvet-protein-pancakes.html,https://proteinpancakes.co/recipe_images/red-velvet-protein-pancakes.jpg,quick-snack
proteinpancakes-co-pumpkin-spice-protein-waffles,Pumpkin Spice Protein Waffles,"Embrace autumn with these warm and spicy pumpkin protein waffles, a cozy and nutritious breakfast treat that offers a satisfying balance of flavors and macros. Packed with 22 grams of high-quality protein per serving, they provide the perfect fuel to kick-start your day or support muscle recovery...",22,240,22,9,5,7,pumpkin;spice;waffles;fall;Waffles,breakfast,ProteinPancakes,proteinpancakes.co,PT10M,10,15,25,Easy,4 waffles,https://proteinpancakes.co/pumpkin-spice-protein-waffles.html,https://proteinpancakes.co/recipe_images/pumpkin-spice-protein-waffles.jpg,quick-snack
proteinpancakes-co-chocolate-chip-protein-pancakes,Chocolate Chip Protein Pancakes,"A classic breakfast favorite gets a healthy, high-protein makeover with these irresistibly fluffy pancakes loaded with melty chocolate chips. Each serving packs an impressive 25 grams of protein, making them an excellent choice for fueling your morning or recovering after an intense workout. The ...",25,260,22,10,4,10,chocolate-chip;classic;high-protein;Pancakes,breakfast,ProteinPancakes,proteinpancakes.co,PT5M,5,10,15,Easy,4 pancakes,https://proteinpancakes.co/chocolate-chip-protein-pancakes.html,https://proteinpancakes.co/recipe_images/chocolate-chip-protein-pancakes.jpg,quick-snack
proteinpancakes-co-strawberry-shortcake-protein-pancakes,Strawberry Shortcake Protein Pancakes,"A healthy twist on a classic dessert! These protein pancakes are layered with fresh strawberries and a dollop of Greek yogurt, offering a deliciously satisfying treat packed with 22 grams of muscle-repairing protein per serving. The tender, fluffy pancakes boast a subtly sweet flavor with hints o...",22,240,25,7,5,12,strawberry;dessert;summer;Pancakes,breakfast,ProteinPancakes,proteinpancakes.co,PT10M,10,10,20,Easy,4 pancakes,https://proteinpancakes.co/strawberry-shortcake-protein-pancakes.html,https://proteinpancakes.co/recipe_images/strawberry-shortcake-protein-pancakes.jpg,quick-snack
proteinpancakes-co-double-chocolate-protein-waffles,Double Chocolate Protein Waffles,"Intensely chocolatey and packed with protein, these waffles are a dream come true for any chocolate lover. Made with both cocoa powder and chocolate chips, they deliver a rich, decadent flavor with every bite, while still providing an impressive 28 grams of protein per serving to fuel your day or...",28,300,25,14,6,10,chocolate;waffles;indulgent;Waffles,breakfast,ProteinPancakes,proteinpancakes.co,PT10M,10,15,25,Easy,4 waffles,https://proteinpancakes.co/double-chocolate-protein-waffles.html,https://proteinpancakes.co/recipe_images/double-chocolate-protein-waffles.jpg,quick-snack
proteinpancakes-co-matcha-green-tea-protein-crepes,Matcha Green Tea Protein Crepes,"Elegant and earthy, these matcha green tea crepes are filled with a sweet and creamy protein filling, making for a truly indulgent yet nourishing treat. Packed with approximately 20 grams of protein per serving, they provide a satisfying boost to support muscle recovery and keep you energized thr...",20,220,18,10,3,8,matcha;green-tea;crepes;unique;Crepes,breakfast,ProteinPancakes,proteinpancakes.co,PT10M,10,15,25,Medium,6 crepes,https://proteinpancakes.co/matcha-green-tea-protein-crepes.html,https://proteinpancakes.co/recipe_images/matcha-green-tea-protein-crepes.jpg,quick-snack
proteinpancakes-co-apple-cinnamon-protein-pancakes,Apple Cinnamon Protein Pancakes,"Warm and comforting, these pancakes are filled with tender apple pieces and spiced with cinnamon, offering a delightful taste of fall in every bite. Packed with 23 grams of protein per serving, they provide a satisfying boost to fuel your day or support muscle recovery after a workout. The combin...",23,250,28,7,5,14,apple;cinnamon;fall;comfort-food;Pancakes,breakfast,ProteinPancakes,proteinpancakes.co,PT10M,10,12,22,Easy,4 pancakes,https://proteinpancakes.co/apple-cinnamon-protein-pancakes.html,https://proteinpancakes.co/recipe_images/apple-cinnamon-protein-pancakes.jpg,quick-snack
proteinpancakes-co-belgian-protein-waffles,Belgian Protein Waffles,"Light, crispy, and deep-pocketed Belgian waffles with a protein-packed punch, these waffles are a delicious way to fuel your day. Packed with 25 grams of high-quality protein per serving, they offer a satisfying balance of macros that support muscle recovery and sustained energy. The tender inter...",25,270,20,12,3,6,belgian-waffle;classic;crispy;Waffles,breakfast,ProteinPancakes,proteinpancakes.co,PT10M,10,15,25,Easy,4 waffles,https://proteinpancakes.co/belgian-protein-waffles.html,https://proteinpancakes.co/recipe_images/belgian-protein-waffles.jpg,quick-snack
proteinpancakes-co-peanut-butter-cup-protein-pancakes,Peanut Butter Cup Protein Pancakes,"Indulge in a decadent, protein-rich breakfast that perfectly mimics the irresistible flavor of a peanut butter cup. These fluffy chocolate pancakes boast a satisfying texture that’s light and airy on the inside, with a subtly chewy exterior, complemented by a luscious swirl of creamy peanut butte...",28,320,25,16,5,9,peanut-butter;chocolate;dessert;Pancakes,breakfast,ProteinPancakes,proteinpancakes.co,PT10M,10,10,20,Easy,4 pancakes,https://proteinpancakes.co/peanut-butter-cup-protein-pancakes.html,https://proteinpancakes.co/recipe_images/peanut-butter-cup-protein-pancakes.jpg,quick-snack
proteinpancakes-co-carrot-cake-protein-waffles,Carrot Cake Protein Waffles,"Indulge in the comforting flavors of classic carrot cake with these protein-packed waffles that deliver both incredible taste and nutritious benefits. Each serving boasts an impressive 25 grams of high-quality protein, making them an ideal choice for post-workout recovery or a satisfying breakfas...",25,280,28,12,6,12,carrot-cake;waffles;dessert-for-breakfast;Waffles,breakfast,ProteinPancakes,proteinpancakes.co,PT10M,10,15,25,Easy,4 waffles,https://proteinpancakes.co/carrot-cake-protein-waffles.html,https://proteinpancakes.co/recipe_images/carrot-cake-protein-waffles.jpg,quick-snack
proteinpancakes-co-savory-spinach-and-feta-protein-crepes,Savory Spinach and Feta Protein Crepes,"A delicious and savory crepe filled with spinach, feta cheese, and a high-protein batter. Perfect for a light lunch or brunch. Packed with 25 grams of protein per serving, this dish makes an excellent choice for fueling your day or supporting muscle recovery after a workout. The tender, thin crep...",25,260,15,14,3,4,savory;spinach;feta;crepes;Crepes,breakfast,ProteinPancakes,proteinpancakes.co,PT10M,10,15,25,Medium,6 crepes,https://proteinpancakes.co/savory-spinach-and-feta-protein-crepes.html,https://proteinpancakes.co/recipe_images/savory-spinach-and-feta-protein-crepes.jpg,quick-snack
proteinpancakes-co-lemon-poppy-seed-protein-pancakes,Lemon Poppy Seed Protein Pancakes,"Bright and zesty, these pancakes are bursting with lemon flavor and a delightful crunch from poppy seeds. With 24 grams of protein per serving, they provide a satisfying, muscle-nourishing start to your day or a perfect post-workout boost to support recovery. The tender, fluffy texture combined w...",24,250,22,10,4,8,lemon;poppy-seed;refreshing;Pancakes,breakfast,ProteinPancakes,proteinpancakes.co,PT10M,10,10,20,Easy,4 pancakes,https://proteinpancakes.co/lemon-poppy-seed-protein-pancakes.html,https://proteinpancakes.co/recipe_images/lemon-poppy-seed-protein-pancakes.jpg,quick-snack
proteinpancakes-co-coffee-infused-protein-waffles,Coffee-Infused Protein Waffles,"Get your caffeine and protein fix in one delicious breakfast! These waffles are infused with real coffee for a rich and robust flavor, creating a satisfying start to your day. Packed with 26 grams of high-quality protein per serving, they support muscle recovery and keep you energized longer, mak...",26,280,22,12,4,7,coffee;waffles;caffeine;Waffles,breakfast,ProteinPancakes,proteinpancakes.co,PT10M,10,15,25,Easy,4 waffles,https://proteinpancakes.co/coffee-infused-protein-waffles.html,https://proteinpancakes.co/recipe_images/coffee-infused-protein-waffles.jpg,quick-snack
